Наименование;Артикул;Цена;Документы;Характеристики;Количество
Выключатель автоматический ВА21-29-140010-40А-6Iн-400AC-У3-АЭС-КЭАЗ;100616;13775.02;"Сайт https://keaz.ru/catalog/product/100616
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-4А-12Iн-400AC-У3-АЭС-КЭАЗ;103046;13775.02;"Сайт https://keaz.ru/catalog/product/103046
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-4А-6Iн-240DC-У3-АЭС-КЭАЗ;102508;20683.88;"Сайт https://keaz.ru/catalog/product/102508
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
Выключатель автоматический ВА21-29-140010-4А-6Iн-400AC-У3-АЭС-КЭАЗ;101087;13775.02;"Сайт https://keaz.ru/catalog/product/101087
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-50А-6Iн-240DC-У3-АЭС-КЭАЗ;142394;20683.88;"Сайт https://keaz.ru/catalog/product/142394
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
Выключатель автоматический ВА21-29-140010-50А-6Iн-400AC-У3-АЭС-КЭАЗ;142395;13775.02;"Сайт https://keaz.ru/catalog/product/142395
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-5А-12Iн-400AC-У3-АЭС-КЭАЗ;102000;13775.02;"Сайт https://keaz.ru/catalog/product/102000
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-5А-6Iн-240DC-У3-АЭС-КЭАЗ;100911;20683.88;"Сайт https://keaz.ru/catalog/product/100911
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
Выключатель автоматический ВА21-29-140010-6,3А-12Iн-400AC-У3-АЭС-КЭАЗ;103048;13775.02;"Сайт https://keaz.ru/catalog/product/103048
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-6,3А-6Iн-240DC-У3-АЭС-КЭАЗ;100143;20683.88;"Сайт https://keaz.ru/catalog/product/100143
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
Выключатель автоматический ВА21-29-140010-6,3А-6Iн-400AC-У3-АЭС-КЭАЗ;101761;13775.02;"Сайт https://keaz.ru/catalog/product/101761
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-63А-12Iн-400AC-У3-АЭС-КЭАЗ;102400;13775.02;"Сайт https://keaz.ru/catalog/product/102400
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75
Предельная коммутационная способность переменного тока Icu при 400АС (кА) = 6";0
Выключатель автоматический ВА21-29-140010-63А-6Iн-240DC-З/П-У3-АЭС-КЭАЗ;100658;20683.88;"Сайт https://keaz.ru/catalog/product/100658
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
Выключатель автоматический ВА21-29-140010-63А-6Iн-240DC-У3-АЭС-КЭАЗ;100883;20683.88;"Сайт https://keaz.ru/catalog/product/100883
Каталог ВА21 https://files.keaz.ru/f/192/catalog-va21.pdf
Руководство по эксплуатации ВА21-29 https://files.keaz.ru/f/577/rucovod-info-va21.pdf";"Предельная коммутационная способность постоянного тока Icu (кА) = 8
Номинальная рабочая наибольшая отключающая способность Ics (% Icu) = 75";0
